"trial","queens","maxgen","competitors","threads","solved","generations","time"
0, 16, 100, 3, 10, 0, 100, 0.084
1, 16, 100, 3, 10, 0, 100, 0.093
2, 16, 100, 3, 10, 0, 100, 0.079
3, 16, 100, 3, 10, 0, 100, 0.082
4, 16, 100, 3, 10, 0, 100, 0.077
5, 16, 100, 3, 10, 0, 100, 0.08
6, 16, 100, 3, 10, 0, 100, 0.077
7, 16, 100, 3, 10, 0, 100, 0.076
8, 16, 100, 3, 10, 0, 100, 0.087
9, 16, 100, 3, 10, 0, 100, 0.078
10, 16, 100, 3, 10, 0, 100, 0.076
0, 32, 100, 1, 1, 0, 100, 0.125
1, 32, 100, 1, 1, 0, 100, 0.124
2, 32, 100, 1, 1, 0, 100, 0.122
3, 32, 100, 1, 1, 0, 100, 0.125
4, 32, 100, 1, 1, 0, 100, 0.125
5, 32, 100, 1, 1, 0, 100, 0.132
6, 32, 100, 1, 1, 0, 100, 0.157
7, 32, 100, 1, 1, 0, 100, 0.122
8, 32, 100, 1, 1, 0, 100, 0.124
9, 32, 100, 1, 1, 0, 100, 0.131
10, 32, 100, 1, 1, 0, 100, 0.13
0, 32, 100, 1, 2, 0, 100, 0.092
1, 32, 100, 1, 2, 0, 100, 0.091
2, 32, 100, 1, 2, 0, 100, 0.074
3, 32, 100, 1, 2, 0, 100, 0.091
4, 32, 100, 1, 2, 0, 100, 0.08
5, 32, 100, 1, 2, 0, 100, 0.098
6, 32, 100, 1, 2, 0, 100, 0.075
7, 32, 100, 1, 2, 0, 100, 0.085
8, 32, 100, 1, 2, 0, 100, 0.099
9, 32, 100, 1, 2, 0, 100, 0.078
10, 32, 100, 1, 2, 0, 100, 0.084
0, 32, 100, 1, 5, 0, 100, 0.048
1, 32, 100, 1, 5, 0, 100, 0.055
2, 32, 100, 1, 5, 0, 100, 0.051
3, 32, 100, 1, 5, 0, 100, 0.049
4, 32, 100, 1, 5, 0, 100, 0.051
5, 32, 100, 1, 5, 0, 100, 0.051
6, 32, 100, 1, 5, 0, 100, 0.051
7, 32, 100, 1, 5, 0, 100, 0.048
8, 32, 100, 1, 5, 0, 100, 0.051
9, 32, 100, 1, 5, 0, 100, 0.051
10, 32, 100, 1, 5, 0, 100, 0.049
0, 32, 100, 1, 10, 0, 100, 0.052
1, 32, 100, 1, 10, 0, 100, 0.053
2, 32, 100, 1, 10, 0, 100, 0.046
3, 32, 100, 1, 10, 0, 100, 0.053
4, 32, 100, 1, 10, 0, 100, 0.05
5, 32, 100, 1, 10, 0, 100, 0.049
6, 32, 100, 1, 10, 0, 100, 0.052
7, 32, 100, 1, 10, 0, 100, 0.055
8, 32, 100, 1, 10, 0, 100, 0.048
9, 32, 100, 1, 10, 0, 100, 0.048
10, 32, 100, 1, 10, 0, 100, 0.055
0, 32, 100, 2, 1, 0, 100, 0.206
1, 32, 100, 2, 1, 0, 100, 0.183
2, 32, 100, 2, 1, 0, 100, 0.208
3, 32, 100, 2, 1, 0, 100, 0.221
4, 32, 100, 2, 1, 0, 100, 0.201
5, 32, 100, 2, 1, 0, 100, 0.201
6, 32, 100, 2, 1, 0, 100, 0.223
7, 32, 100, 2, 1, 0, 100, 0.22
8, 32, 100, 2, 1, 0, 100, 0.226
9, 32, 100, 2, 1, 0, 100, 0.202
10, 32, 100, 2, 1, 0, 100, 0.2
0, 32, 100, 2, 2, 0, 100, 0.126
1, 32, 100, 2, 2, 0, 100, 0.131
2, 32, 100, 2, 2, 0, 100, 0.127
3, 32, 100, 2, 2, 0, 100, 0.135
4, 32, 100, 2, 2, 0, 100, 0.127
5, 32, 100, 2, 2, 0, 100, 0.129
6, 32, 100, 2, 2, 0, 100, 0.132
7, 32, 100, 2, 2, 0, 100, 0.14
8, 32, 100, 2, 2, 0, 100, 0.126
9, 32, 100, 2, 2, 0, 100, 0.135
10, 32, 100, 2, 2, 0, 100, 0.131
0, 32, 100, 2, 5, 0, 100, 0.112
1, 32, 100, 2, 5, 0, 100, 0.116
2, 32, 100, 2, 5, 0, 100, 0.117
3, 32, 100, 2, 5, 0, 100, 0.11
4, 32, 100, 2, 5, 0, 100, 0.116
5, 32, 100, 2, 5, 0, 100, 0.112
6, 32, 100, 2, 5, 0, 100, 0.112
7, 32, 100, 2, 5, 0, 100, 0.128
8, 32, 100, 2, 5, 0, 100, 0.103
9, 32, 100, 2, 5, 0, 100, 0.102
10, 32, 100, 2, 5, 0, 100, 0.101
0, 32, 100, 2, 10, 0, 100, 0.099
1, 32, 100, 2, 10, 0, 100, 0.099
2, 32, 100, 2, 10, 0, 100, 0.104
3, 32, 100, 2, 10, 0, 100, 0.113
4, 32, 100, 2, 10, 0, 100, 0.12
5, 32, 100, 2, 10, 0, 100, 0.109
6, 32, 100, 2, 10, 0, 100, 0.117
7, 32, 100, 2, 10, 0, 100, 0.1
8, 32, 100, 2, 10, 0, 100, 0.097
9, 32, 100, 2, 10, 0, 100, 0.093
10, 32, 100, 2, 10, 0, 100, 0.101
0, 32, 100, 3, 1, 0, 100, 0.251
1, 32, 100, 3, 1, 0, 100, 0.273
2, 32, 100, 3, 1, 0, 100, 0.25
3, 32, 100, 3, 1, 0, 100, 0.223
4, 32, 100, 3, 1, 0, 100, 0.286
5, 32, 100, 3, 1, 0, 100, 0.23
6, 32, 100, 3, 1, 0, 100, 0.245
7, 32, 100, 3, 1, 0, 100, 0.238
8, 32, 100, 3, 1, 0, 100, 0.286
9, 32, 100, 3, 1, 0, 100, 0.255
10, 32, 100, 3, 1, 0, 100, 0.256
0, 32, 100, 3, 2, 0, 100, 0.168
1, 32, 100, 3, 2, 0, 100, 0.169
